,potential_ceo_company
62228,Ron Johnson
62378,Vikram Pandit
62379,Bloomberg Pandit
62380,Maiden Lane Citi
62456,Tim Cook
62502,Maurice
62503,Hank Greenberg
62558,Reuters
62562,Michael Dell
63132,Sources Recession Forecasts Dwaine
63133,Vuuren
63134,RecessionAlert
63673,Department Transportation Federal Highway Commission
63762,Terry Lundgren Stewart
63768,Macy
63971,Ron Johnson
63972,Penney
63994,Mickey Drexler Michael
64047,So
64071,Read
64298,Bloomberg
64467,Ron Johnson
64473,Apple
64576,Eric Hunsader
64890,Google
64905,Apple
64935,Apple
65067,Fitschen
65185,Democratic Congressional Campaign Committee
65564,Russ Girling
65867,Morgan
65870,Jamie Dimon
65887,Teamwork Online
65907,Ron Johnson
65909,Terry Lundgren
65921,Macy
65923,Penney
65980,Hininger
65981,Corrections Corporation America
66148,Autonomy
66193,Hubert Joly
66291,American
66445,Congresses Administrations
66452,Apple
66554,Johnson
66652,Jamie Dimon
66655,Check
66950,Penney
67029,Ron Johnson
67039,Bill Ackman
67234,Echevarria
67235,Bloomberg Tom Keene
67448,Jamie Dimon
67486,Bill Ackman
67513,Vanity Fair
67515,Pershing Square Capital Management
67624,Apple
67817,Marissa Mayer
67822,Marissa Mayer
67833,Yahoo
67896,Stanley
67897,James Gorman
67910,Street
68128,Morgan Chase
68129,Jamie Dimon Fox Business
68132,Wranglers
68135,Ryan McInerney
68136,Morgan
68188,Insider
68190,Eric Hunsader
68198,Nanex
68483,Herbalife
68521,Pershing Square Capital Management
68577,Ron Johnson
68659,Hester
68682,Penney
68791,Richard Nixon
68792,Lehman Brothers
68793,Blackstone Group
68824,We
68848,Pershing Square
68921,Consumer Discretionary Materials Energy Financials Industrials
68935,Ron Johnson
68943,Ron Johnson
68953,Pershing Square Capital Management
68961,Harbor Investment Conference
68962,Penney
68998,Tim Cook
69012,Cook
69048,Hellenic Association Pharmaceutical Companies
69102,David Longmuir Sberbank
69103,Paolo Zaniboni
69155,First
69272,Managing Director Tata Consultancy Services India
69344,Carlos Ghosn
69620,Os
69624,Os
69631,Os Of
69952,Os
70031,University Pennsylvania Columbia University
70170,The
70749,Os
70753,Os Of
70834,Battletoads
71147,Minutes Wang Shi
71148,Vanke
71591,Tuesday
71606,Political Consultative Conference National Committee
71838,Penney
71852,Ron Johnson
71853,Apple June
72417,Deutsche Bank
72457,Os
72500,Street
72650,Kingston Financial
72842,Pershing Square Capital Management
72908,Chesapeake Energy
72909,Aubrey McClendon Alex Lebedev
72910,The Top
72970,Minutes
73249,This
73309,Os
73312,Os
73321,Ron Johnson
73324,Bill Ackman
73330,Ron Johnson
73335,Ron Johnson
73339,Chairman
73343,Founder
73344,Pershing Square Capital Management Colleen Barrett
73360,Bill Ackman
73361,Pershing Square Capital Management
73366,Ackman
73400,Efficient Frontier
73513,Pakistan Counterinsurgency Capability Fund
73621,Hubert Joly
73627,Yahoo
73682,Pershing Square
73726,Open Door
73727,Skiddy
73728,Stade
73955,Michael Corbat
73956,April
73957,Vikram Pandit
73970,Corbat
74121,Noticias The Macy
74123,Terry Lundgren
74124,New York State Court Manhattan
74269,Vikram Pandit
74270,October
74271,Wall Street Journal
74379,Reithofer
74483,Vanke
74703,Euro Pacific Capital
74704,Peter Schiff
74705,Euro Pacific Weekly Digest Receive
74814,Laura Lang
74990,Lloyd
75011,Allen Questrom
75851,William Johnson
75852,The Wall Street Journal
75854,Tyco
75855,Edward Breen
75859,Burger King
75914,Coinlab Announce Strategic Partnership Bolster American Presence Celebrate
75930,CoinLab Peter Vessenes
75983,Os
76093,Bill Ackman
76094,Pershing Square Capital Management
76225,Citi
76250,Bill Ackman
76251,Pershing Square
76254,David Einhorn
76255,Greenlight Capital
76256,Einhorn Ackman
76372,Bitcoin
76570,According Australian
76574,Indonesia
76579,Os
76592,Bespoke Investment Group Bespoke Investment Group American Association Individual Investors
76612,Steve Brazier
76613,Canalys
77196,Os
77254,Penney
77261,Ron Johnson
77275,Pershing Square
77485,Mark Cohen
77486,Sears Canada
77487,Columbia University
77490,Ron Johnson
77500,Penney
77595,Jeff Gomez
77596,Starlight Runner Entertainment
77660,Former General Electric
77661,Jack Welch
77668,Welch
77669,Tim Cook
77875,Erian
78455,Chuck Prince July
78606,Pakistan Counterinsurgency Capability Fund
78632,Minutes
78856,Charlie Rose ExxonMobil
78857,Rex Tillerson
78917,Goldman
79123,William Ackman
79153,Penney
79159,Penney
79160,Penney
79946,Bill Ackman
79955,Hunter Harrison
79961,Bill Ackman
80023,January
80359,Schmidt
80369,Herbalife
80651,Feuerstein
80652,Chief Investment Officer
80653,Xenon
80684,Einhorn
80802,Ron Johnson
80805,Ron Johnson
80811,Allen Questrom
81148,James Spencer Matthews
81149,Eden Rock Capital Management
81546,Bill Ackman
81950,Chairman Republican National Committee Republicans
82150,Jay
82320,Os
82324,Business Roundtable
82325,Economic Outlook Survey Index
82399,Apple
82614,Mr
82619,Morgan
82624,Jamie Dimon
83046,Limin Li
83047,Gobi Oak
83347,Os
83350,Henrik Fisker February
83449,New York City
83451,Sandy Weill
83452,Central Park West
83492,Steve Jobs
83554,Frank Bennack Jr
83555,Magazines
83563,Friendster
83564,Turner Broadcasting
83700,Pershing Square Capital Management
83728,Jefferies
83744,Merrill
83745,Sergio Ermotti
